dataset,image,method,height,width,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count,pred_skeleton_pixels,gt_skeleton_pixels,skeleton_overlap,pred_skeleton_components,gt_skeleton_components,component_ratio
HRF,01_dr.jpg,baseline,1066,1600,86675,331840,0.3562405170662939,0.216723018644122,0.8600634554369773,0.8410710811186436,0.2246444069431051,0.24544570502431118,0.13989062961868165,0.6937877954920286,0.9872910690453686,0.1490962076162722,916,6826,0.7030567685589519,0.06812188690301788,272,71935,22566,0.24785074891429584,26594,9097,2.9233813345058812
HRF,01_dr.jpg,multiscale_line,1066,1600,86675,337559,0.35470990066802754,0.21559109898737513,0.8680703778482838,0.8379671695724015,0.22289436809565144,0.2455802611736773,0.13997805413313827,0.7013010811801356,0.9871287297597908,0.1488525865422015,916,6870,0.7030567685589519,0.0678311499272198,272,73311,22566,0.24762917663741912,26776,9097,2.9433879300868417
HRF,01_dr.jpg,connected_recovery,1066,1600,86675,358140,0.3444353270460753,0.20804703837484045,0.8838188635708105,0.8260975647420357,0.2138968001340258,0.24090030971144705,0.13694522888121885,0.7198094190947407,0.9863387962071426,0.1446564042130073,916,6748,0.6910480349344978,0.06742738589211618,283,75012,22566,0.248515465744926,26751,9097,2.9406397713531933
HRF,01_g.jpg,baseline,1066,1600,114193,268632,0.5096741330895318,0.3419883828132942,0.8543255716199767,0.8925014154141586,0.3631659668245034,0.3258102647277126,0.1946077304522019,0.6230680264956366,0.9876539497632495,0.22057619295764164,1050,5088,0.7780952380952381,0.15880503144654087,233,57731,30819,0.2620461403679548,21539,11825,1.8214799154334038
HRF,01_g.jpg,multiscale_line,1066,1600,114193,272226,0.512200487036093,0.3442671425639313,0.8666205459178759,0.8911252746783193,0.36352883266109776,0.32694979432836635,0.19542138856324084,0.6309536326358953,0.9875024246958739,0.2206412236193838,1050,5057,0.7742857142857142,0.15997627051611626,237,57737,30819,0.26610207988578477,21472,11825,1.8158139534883722
HRF,01_g.jpg,connected_recovery,1066,1600,114193,294946,0.4993950711127514,0.332795835532188,0.8946345222561803,0.8788587708863917,0.3463718782421189,0.32247548575716023,0.19223294981338104,0.6552412995478919,0.9864936332940075,0.21386410432395334,1050,5048,0.741904761904762,0.1531299524564184,271,58870,30819,0.27262403063045526,21365,11825,1.8067653276955602
HRF,01_h.jpg,baseline,1066,1600,173708,287764,0.6229153664794397,0.4523435606763957,0.8274172749671863,0.905975747637562,0.49946831431311767,0.3898175951239188,0.2420953017145402,0.5840719849583669,0.9938062154551354,0.29252707338400485,335,5599,0.8746268656716418,0.10805500982318271,42,62099,34182,0.37358843835937044,24090,12928,1.8633972772277227
HRF,01_h.jpg,multiscale_line,1066,1600,173708,291202,0.6274891914564109,0.4571834243857488,0.8397022589633177,0.9051245126941063,0.5008997190953359,0.39116465863453814,0.24313529705441836,0.588638195004029,0.9937691163463385,0.2929029671210906,335,5578,0.8716417910447761,0.10846181427034779,43,61147,34182,0.3843250833772161,23726,12928,1.8352413366336633
HRF,01_h.jpg,connected_recovery,1066,1600,173708,308465,0.6247135364277967,0.45424248182095106,0.8670297280493702,0.8969542239270132,0.4882563662003793,0.3925184862983906,0.24418227080852906,0.6059629331184528,0.9935035338373316,0.2902727740607308,335,5525,0.8656716417910447,0.10660633484162896,45,62460,34182,0.38312562167222514,23688,12928,1.8323019801980198
HRF,02_dr.jpg,baseline,1066,1600,108785,295042,0.4652140644384848,0.30311332261999263,0.8634738245162477,0.8740561680595436,0.3183716216674236,0.3112900842323038,0.1843360315029534,0.6299342105263158,0.9904839097022095,0.20672227674190383,689,6054,0.7910014513788098,0.09745622728774364,144,63115,28281,0.3089706870336975,24060,10956,2.1960569550930997
HRF,02_dr.jpg,multiscale_line,1066,1600,108785,301286,0.4617102891938225,0.3001452105870566,0.870221078273659,0.8706055491713192,0.3142097541870515,0.30995236536853205,0.18339859718576532,0.6372607655502392,0.9902578826919817,0.2047758612405708,689,6087,0.7880986937590712,0.09528503367833087,146,64405,28281,0.31303702132173544,24284,10956,2.216502373128879
HRF,02_dr.jpg,connected_recovery,1066,1600,108785,321819,0.44639158019897635,0.2873256700399109,0.883476582249391,0.8586498749072372,0.29864302604880383,0.301334156463285,0.17739460507187854,0.6568480861244019,0.9893602493831346,0.19551381903956563,689,5974,0.7750362844702468,0.09273518580515568,155,66002,28281,0.3099253916056717,24181,10956,2.207101131799927
HRF,02_g.jpg,baseline,1066,1600,126960,299764,0.5246857453529682,0.3556433781482705,0.881758034026465,0.8810267065322049,0.3734537836431326,0.3360421806220674,0.20195354516119654,0.6622497616777884,0.9858953106288088,0.22514259787399532,1039,5475,0.7978825794032723,0.1645662100456621,210,63268,33389,0.3130372278295247,23238,12680,1.8326498422712934
HRF,02_g.jpg,multiscale_line,1066,1600,126960,302505,0.5253187104886312,0.35622524963525776,0.888492438563327,0.8798320072974206,0.3728963157633758,0.3357952221714341,0.2017751821440962,0.6653002859866539,0.9857838134398358,0.22457122630884577,1039,5449,0.7969201154956689,0.16480088089557718,211,63514,33389,0.31633172601755066,23232,12680,1.8321766561514197
HRF,02_g.jpg,connected_recovery,1066,1600,126960,321713,0.5122438836301716,0.3443063537053793,0.9051275992438563,0.8690024324735215,0.3571972534526115,0.32938312433971795,0.19716257457864783,0.6836034318398475,0.9847319642973023,0.21696115212392594,1039,5377,0.7844080846968239,0.16087037381439465,224,64527,33389,0.3097726796250262,23121,12680,1.823422712933754
HRF,02_h.jpg,baseline,1066,1600,168383,314569,0.6138001292053868,0.44279338220796216,0.8802432549604177,0.8917843089166981,0.4711780245351576,0.446208198228718,0.2871737369962001,0.7213268659051791,0.9943138248443835,0.3230100896860987,260,5572,0.8692307692307693,0.07394113424264179,34,65281,30910,0.46179230022646395,24440,11347,2.1538732704679653
HRF,02_h.jpg,multiscale_line,1066,1600,168383,316236,0.6152709654388293,0.4443258934292603,0.885398169648955,0.8912645384483778,0.4714390518473545,0.4469737159392332,0.2878082106701447,0.7250821467688937,0.9942855764064338,0.32306190741773566,260,5556,0.8653846153846154,0.07397408207343413,35,65329,30910,0.4643481074086056,24343,11347,2.145324755441967
HRF,02_h.jpg,connected_recovery,1066,1600,168383,330482,0.6135728102793341,0.4425568214678156,0.9089100443631483,0.8845725749845338,0.4630963259723676,0.44424654323880947,0.28555073511689566,0.7415115005476451,0.993994264390078,0.31711723768736616,260,5523,0.8538461538461538,0.07242440702516748,38,66374,30910,0.4548689744419282,24375,11347,2.1481448841103377
HRF,03_dr.jpg,baseline,1066,1600,103048,374889,0.36764678189803257,0.22522501736818765,0.852573557953575,0.8208900553616981,0.2343520348689879,0.29409014064242295,0.17239488887951757,0.6594612034199064,0.989694015714949,0.18924173687621518,537,6750,0.8324022346368715,0.06948148148148148,90,79560,24710,0.28441926345609064,28354,9515,2.9799264319495533
HRF,03_dr.jpg,multiscale_line,1066,1600,103048,380797,0.36786987568332835,0.2253924918133261,0.8636363636363636,0.8179148008925763,0.23370982439462495,0.29287364492624846,0.17155944201540704,0.6646233263429585,0.9895163060395986,0.187819110138585,537,6765,0.8268156424581006,0.06829268292682927,93,80264,24710,0.29053014973694863,28402,9515,2.984971098265896
HRF,03_dr.jpg,connected_recovery,1066,1600,103048,398059,0.3610127178426963,0.22026572248169993,0.8777754056362084,0.8080524064117732,0.22723515860714116,0.28352698079333355,0.16517998105462584,0.6751088885304082,0.9887389733205995,0.1794443015178801,537,6651,0.7914338919925512,0.06660652533453616,112,81871,24710,0.29101578308377174,28284,9515,2.972569626904887
HRF,03_g.jpg,baseline,1066,1600,98617,241663,0.4985482543787469,0.3320441405011411,0.8601255361651642,0.9024009588153702,0.3509970496104079,0.3209636853020342,0.19115946599390307,0.5994725564529422,0.9923749641813369,0.21914919257652446,594,5517,0.7626262626262627,0.0938916077578394,141,54280,25422,0.28314058689324206,20239,9665,2.0940506983962752
HRF,03_g.jpg,multiscale_line,1066,1600,98617,250854,0.49808997026935,0.3316376882832832,0.8825456057272073,0.8980574156665005,0.3469508160125013,0.32178302532511976,0.19174101452969666,0.619910993901434,0.9920283983894399,0.21728580507250564,594,5487,0.7592592592592593,0.09331146345908511,143,54855,25422,0.28396664306506175,20247,9665,2.0948784273150545
HRF,03_g.jpg,connected_recovery,1066,1600,98617,283632,0.4694269965389053,0.3067001675041876,0.909772148818155,0.8793310196809798,0.31632185366954363,0.3095088161209068,0.18308809834233564,0.6480962584473381,0.9909333917023088,0.20329869189804042,594,5422,0.7710437710437711,0.08981925488749538,136,57084,25422,0.279954370230509,20313,9665,2.101707190894982
HRF,03_h.jpg,baseline,1066,1600,180045,293222,0.6191895906539014,0.4484247703108837,0.8138021050292983,0.9038376197515002,0.4996930653225201,0.5077059630436537,0.34021844922677624,0.6295147573786893,0.9949876297840594,0.4253938205665607,299,5553,0.9163879598662207,0.10606879164415631,25,64074,30938,0.3946279656086366,23911,11481,2.082658305025695
HRF,03_h.jpg,multiscale_line,1066,1600,180045,297803,0.6265130334332256,0.45614778202030115,0.8313977061290233,0.9029113994579022,0.5026443655705282,0.5076545987865151,0.3401723209477652,0.632016008004002,0.9949428080242745,0.4241874832124631,299,5499,0.8996655518394648,0.10583742498636116,30,63563,30938,0.4125670696231172,23760,11481,2.069506140580089
HRF,03_h.jpg,connected_recovery,1066,1600,180045,314481,0.6263290504442638,0.4559527524745479,0.8601627370935044,0.8953738147756063,0.4924558240402441,0.5016573723823265,0.33480818281193064,0.6435217608804402,0.994564771866089,0.4110429447852761,299,5479,0.8929765886287625,0.10695382369045446,32,65069,30938,0.41418320511991724,23745,11481,2.0681996341782076
